Id,SalePrice
1461,1.43E+05
1462,1.45E+05
1463,1.97E+05
1464,1.95E+05
1465,2.01E+05
1466,1.83E+05
1467,1.71E+05
1468,1.90E+05
1469,1.95E+05
1470,1.25E+05
1471,2.24E+05
1472,1.07E+05
1473,1.06E+05
1474,1.55E+05
1475,1.39E+05
1476,4.89E+05
1477,2.49E+05
1478,3.00E+05
1479,2.56E+05
1480,4.79E+05
1481,3.38E+05
1482,2.10E+05
1483,1.76E+05
1484,1.81E+05
1485,1.91E+05
1486,2.10E+05
1487,3.27E+05
1488,2.24E+05
1489,2.24E+05
1490,2.31E+05
1491,2.04E+05
1492,1.01E+05
1493,1.92E+05
1494,2.88E+05
1495,2.93E+05
1496,2.33E+05
1497,1.79E+05
1498,1.67E+05
1499,1.63E+05
1500,1.55E+05
1501,1.90E+05
1502,1.66E+05
1503,3.54E+05
1504,2.36E+05
1505,2.31E+05
1506,1.95E+05
1507,2.57E+05
1508,2.07E+05
1509,1.69E+05
1510,1.50E+05
1511,1.71E+05
1512,1.84E+05
1513,1.64E+05
1514,1.74E+05
1515,1.76E+05
1516,1.79E+05
1517,1.79E+05
1518,1.30E+05
1519,2.30E+05
1520,1.40E+05
1521,1.49E+05
1522,1.74E+05
1523,1.29E+05
1524,1.26E+05
1525,1.34E+05
1526,1.36E+05
1527,1.01E+05
1528,1.41E+05
1529,1.45E+05
1530,1.70E+05
1531,1.27E+05
1532,1.16E+05
1533,1.60E+05
1534,1.32E+05
1535,1.56E+05
1536,1.20E+05
1537,7.46E+04
1538,1.80E+05
1539,2.02E+05
1540,1.08E+05
1541,1.59E+05
1542,1.49E+05
1543,2.30E+05
1544,9.28E+04
1545,1.23E+05
1546,1.50E+05
1547,1.46E+05
1548,1.43E+05
1549,1.28E+05
1550,1.44E+05
1551,1.13E+05
1552,1.66E+05
1553,1.59E+05
1554,1.33E+05
1555,1.75E+05
1556,1.03E+05
1557,1.22E+05
1558,1.12E+05
1559,1.04E+05
1560,1.45E+05
1561,1.53E+05
1562,1.36E+05
1563,1.36E+05
1564,1.74E+05
1565,1.60E+05
1566,2.42E+05
1567,8.18E+04
1568,2.45E+05
1569,1.56E+05
1570,1.40E+05
1571,1.26E+05
1572,1.49E+05
1573,2.70E+05
1574,1.16E+05
1575,2.14E+05
1576,2.29E+05
1577,2.03E+05
1578,1.88E+05
1579,1.48E+05
1580,2.09E+05
1581,1.56E+05
1582,1.29E+05
1583,3.13E+05
1584,2.34E+05
1585,1.45E+05
1586,7.36E+04
1587,1.15E+05
1588,1.58E+05
1589,1.18E+05
1590,1.46E+05
1591,9.94E+04
1592,1.14E+05
1593,1.24E+05
1594,1.37E+05
1595,1.09E+05
1596,2.21E+05
1597,1.83E+05
1598,2.16E+05
1599,2.06E+05
1600,1.97E+05
1601,9.33E+04
1602,1.28E+05
1603,9.44E+04
1604,2.78E+05
1605,2.55E+05
1606,1.72E+05
1607,1.68E+05
1608,2.08E+05
1609,2.20E+05
1610,1.65E+05
1611,1.54E+05
1612,1.56E+05
1613,1.77E+05
1614,1.31E+05
1615,9.41E+04
1616,9.01E+04
1617,9.12E+04
1618,1.39E+05
1619,1.42E+05
1620,1.86E+05
1621,1.56E+05
1622,1.81E+05
1623,2.73E+05
1624,2.31E+05
1625,1.31E+05
1626,1.80E+05
1627,1.97E+05
1628,3.06E+05
1629,1.82E+05
1630,3.86E+05
1631,2.45E+05
1632,2.33E+05
1633,1.85E+05
1634,1.78E+05
1635,1.89E+05
1636,1.69E+05
1637,1.91E+05
1638,2.30E+05
1639,1.90E+05
1640,2.61E+05
1641,2.03E+05
1642,2.51E+05
1643,2.21E+05
1644,2.32E+05
1645,2.08E+05
1646,1.60E+05
1647,1.72E+05
1648,1.43E+05
1649,1.43E+05
1650,1.19E+05
1651,1.26E+05
1652,1.11E+05
1653,1.05E+05
1654,1.58E+05
1655,1.47E+05
1656,1.54E+05
1657,1.59E+05
1658,1.59E+05
1659,1.29E+05
1660,1.51E+05
1661,4.23E+05
1662,4.14E+05
1663,4.01E+05
1664,4.67E+05
1665,3.10E+05
1666,3.13E+05
1667,3.75E+05
1668,3.47E+05
1669,3.20E+05
1670,3.41E+05
1671,2.76E+05
1672,4.13E+05
1673,3.09E+05
1674,2.69E+05
1675,2.07E+05
1676,2.03E+05
1677,2.26E+05
1678,4.13E+05
1679,3.81E+05
1680,3.03E+05
1681,2.54E+05
1682,3.06E+05
1683,2.09E+05
1684,1.82E+05
1685,1.93E+05
1686,1.69E+05
1687,1.83E+05
1688,1.90E+05
1689,1.96E+05
1690,1.96E+05
1691,1.90E+05
1692,2.62E+05
1693,1.90E+05
1694,2.06E+05
1695,1.80E+05
1696,2.69E+05
1697,1.95E+05
1698,3.44E+05
1699,3.54E+05
1700,2.54E+05
1701,2.74E+05
1702,2.53E+05
1703,2.51E+05
1704,2.91E+05
1705,2.53E+05
1706,3.52E+05
1707,2.20E+05
1708,2.28E+05
1709,2.80E+05
1710,2.14E+05
1711,2.92E+05
1712,2.49E+05
1713,2.68E+05
1714,2.18E+05
1715,2.23E+05
1716,1.90E+05
1717,1.83E+05
1718,1.36E+05
1719,2.19E+05
1720,2.44E+05
1721,1.73E+05
1722,1.27E+05
1723,1.60E+05
1724,2.29E+05
1725,2.42E+05
1726,1.93E+05
1727,1.74E+05
1728,1.94E+05
1729,1.79E+05
1730,1.83E+05
1731,1.32E+05
1732,1.42E+05
1733,1.37E+05
1734,1.39E+05
1735,1.34E+05
1736,1.23E+05
1737,3.05E+05
1738,2.90E+05
1739,2.45E+05
1740,2.09E+05
1741,1.99E+05
1742,1.71E+05
1743,1.83E+05
1744,2.85E+05
1745,2.32E+05
1746,2.50E+05
1747,2.37E+05
1748,2.11E+05
1749,1.65E+05
1750,1.37E+05
1751,2.63E+05
1752,1.21E+05
1753,1.48E+05
1754,2.03E+05
1755,1.74E+05
1756,1.30E+05
1757,1.30E+05
1758,1.56E+05
1759,1.58E+05
1760,2.02E+05
1761,1.71E+05
1762,1.72E+05
1763,1.65E+05
1764,1.24E+05
1765,1.81E+05
1766,1.88E+05
1767,2.09E+05
1768,1.51E+05
1769,1.72E+05
1770,1.50E+05
1771,1.29E+05
1772,1.51E+05
1773,1.29E+05
1774,1.48E+05
1775,1.42E+05
1776,1.24E+05
1777,1.22E+05
1778,1.41E+05
1779,1.27E+05
1780,1.75E+05
1781,1.32E+05
1782,1.06E+05
1783,1.77E+05
1784,1.14E+05
